corp_code,bsns_year,fs_div,sj_div,currency,rows,max_abs_amt,corp_name
00956028,2024,OFS,CIS,USD,20,58701034.0,엑세스바이오
00956028,2024,OFS,SCE,USD,78,474401342.0,엑세스바이오
00956028,2025,CFS,BS,USD,40,423681105.0,엑세스바이오
00956028,2025,CFS,CF,USD,46,232819942.0,엑세스바이오
00956028,2025,CFS,CIS,USD,24,74096198.0,엑세스바이오
00956028,2025,CFS,SCE,USD,112,443813099.0,엑세스바이오
00956028,2025,OFS,BS,USD,34,418482248.0,엑세스바이오
00956028,2025,OFS,CF,USD,37,218690130.0,엑세스바이오
00956028,2025,OFS,CIS,USD,20,86527252.0,엑세스바이오
00956028,2025,OFS,SCE,USD,78,468604202.0,엑세스바이오
01032486,2023,CFS,BS,USD,51,8043860515.0,두산밥캣
01032486,2023,CFS,CF,USD,44,1284969464.0,두산밥캣
01032486,2023,CFS,CIS,USD,12,774914227.0,두산밥캣
01032486,2023,CFS,IS,USD,17,7475740778.0,두산밥캣
01032486,2023,CFS,SCE,USD,71,4618281799.0,두산밥캣
01032486,2024,CFS,BS,USD,51,8169804000.0,두산밥캣
01032486,2024,CFS,CF,USD,44,1263123000.0,두산밥캣
01032486,2024,CFS,CIS,USD,11,413029000.0,두산밥캣
01032486,2024,CFS,IS,USD,17,6269305000.0,두산밥캣
01032486,2024,CFS,SCE,USD,67,4690139000.0,두산밥캣
01032486,2025,CFS,BS,USD,50,8558454000.0,두산밥캣
01032486,2025,CFS,CF,USD,41,1389744000.0,두산밥캣
01032486,2025,CFS,CIS,USD,9,554801000.0,두산밥캣
01032486,2025,CFS,IS,USD,17,6181806000.0,두산밥캣
01032486,2025,CFS,SCE,USD,59,5011583000.0,두산밥캣
01165739,2020,CFS,BS,USD,35,99923834.0,잉글우드랩
01165739,2020,CFS,CF,USD,28,20992129.0,잉글우드랩
01165739,2020,CFS,CIS,USD,17,116239246.0,잉글우드랩
01165739,2020,CFS,SCE,USD,21,62721656.0,잉글우드랩
01165739,2020,OFS,BS,USD,31,82133081.0,잉글우드랩
01165739,2020,OFS,CF,USD,25,14026777.0,잉글우드랩
01165739,2020,OFS,CIS,USD,14,94231229.0,잉글우드랩
01165739,2020,OFS,SCE,USD,10,63070087.0,잉글우드랩
01165739,2021,CFS,BS,USD,37,108123809.0,잉글우드랩
01165739,2021,CFS,CF,USD,27,9917640.0,잉글우드랩
01165739,2021,CFS,CIS,USD,17,140522222.0,잉글우드랩
01165739,2021,CFS,SCE,USD,23,68284300.0,잉글우드랩
01165739,2021,OFS,BS,USD,32,87816569.0,잉글우드랩
01165739,2021,OFS,CF,USD,23,8468389.0,잉글우드랩
01165739,2021,OFS,CIS,USD,15,96928544.0,잉글우드랩
01165739,2021,OFS,SCE,USD,12,69531359.0,잉글우드랩
01165739,2022,CFS,BS,USD,36,106822471.0,잉글우드랩
01165739,2022,CFS,CF,USD,26,8867251.0,잉글우드랩
01165739,2022,CFS,CIS,USD,17,117271385.0,잉글우드랩
01165739,2022,CFS,SCE,USD,23,73405781.0,잉글우드랩
01165739,2022,OFS,BS,USD,31,88763204.0,잉글우드랩
01165739,2022,OFS,CF,USD,24,6253974.0,잉글우드랩
01165739,2022,OFS,CIS,USD,15,85223682.0,잉글우드랩
01165739,2022,OFS,SCE,USD,12,74744374.0,잉글우드랩
01165739,2023,CFS,BS,USD,37,134665289.0,잉글우드랩
01165739,2023,CFS,CF,USD,27,18892655.0,잉글우드랩
01165739,2023,CFS,CIS,USD,17,158405481.0,잉글우드랩
01165739,2023,CFS,SCE,USD,23,89123720.0,잉글우드랩
01165739,2023,OFS,BS,USD,31,94715787.0,잉글우드랩
01165739,2023,OFS,CF,USD,20,14724286.0,잉글우드랩
01165739,2023,OFS,CIS,USD,15,81323710.0,잉글우드랩
01165739,2023,OFS,SCE,USD,12,84199242.0,잉글우드랩
01165739,2024,CFS,BS,USD,37,135871032.0,잉글우드랩
01165739,2024,CFS,CF,USD,27,19138261.0,잉글우드랩
01165739,2024,CFS,CIS,USD,17,133594656.0,잉글우드랩
01165739,2024,CFS,SCE,USD,24,97887856.0,잉글우드랩
01165739,2024,OFS,BS,USD,31,96830712.0,잉글우드랩
01165739,2024,OFS,CF,USD,21,7154782.0,잉글우드랩
01165739,2024,OFS,CIS,USD,14,82638820.0,잉글우드랩
01165739,2024,OFS,SCE,USD,12,86313232.0,잉글우드랩
01165739,2025,CFS,BS,USD,37,158226274.0,잉글우드랩
01165739,2025,CFS,CF,USD,28,25138613.0,잉글우드랩
01165739,2025,CFS,CIS,USD,17,152431009.0,잉글우드랩
01165739,2025,CFS,SCE,USD,25,114701495.0,잉글우드랩
01165739,2025,OFS,BS,USD,30,101917951.0,잉글우드랩
01165739,2025,OFS,CF,USD,21,10873166.0,잉글우드랩
01165739,2025,OFS,CIS,USD,14,84082915.0,잉글우드랩
01165739,2025,OFS,SCE,USD,12,89755799.0,잉글우드랩
