fs_div,sj_div,account_id,label,amount,verdict,canonical,norm_amount,detail
CFS,BS,dart_CashAndDuefromBanks,현금및예치금,2406632887000,정확매핑,현금및예치금,2406632887000.0,-
CFS,BS,dart_LoansAtAmortisedCost,대출채권,7543092272000,정확매핑,상각후원가측정대출채권,7543092272000.0,-
CFS,BS,-표준계정코드 미사용-,기타자산,821504395000,정확매핑,기타자산,821504395000.0,-
CFS,BS,ifrs-full_Assets,자산총계,26396108665000,정확매핑,자산총계,26396108665000.0,-
CFS,BS,ifrs-full_CurrentTaxAssets,당기법인세자산,33437652000,정확매핑,당기법인세자산,33437652000.0,-
CFS,BS,ifrs-full_DeferredTaxAssets,이연법인세자산,168107366000,정확매핑,이연법인세자산,168107366000.0,-
CFS,BS,ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산,1996650978000,정확매핑,IV. 기타포괄손익-공정가치측정금융자산,1996650978000.0,-
CFS,BS,ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융자산,8945951215000,정확매핑,당기손익-공정가치측정금융자산(유동),8945951215000.0,-
CFS,BS,-표준계정코드 미사용-,파생상품자산,615051824000,정확매핑,유동파생상품자산,615051824000.0,-
CFS,BS,-표준계정코드 미사용-,당기손익-공정가치측정금융자산,8330899391000,정확매핑,FVPL금융자산,8330899391000.0,-
CFS,BS,ifrs-full_IntangibleAssetsAndGoodwill,무형자산,142165423000,정확매핑,무형자산,142165423000.0,-
CFS,BS,ifrs-full_InventoriesTotal,재고자산,55273307000,정확매핑,재고자산,55273307000.0,-
CFS,BS,ifrs-full_InvestmentProperty,투자부동산,2928993327000,정확매핑,투자부동산,2928993327000.0,-
CFS,BS,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,관계기업및공동기업투자,621958653000,정확매핑,종속관계공동기업투자,621958653000.0,-
CFS,BS,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정비유동자산,149250600000,정확매핑,매각예정비유동자산,149250600000.0,-
CFS,BS,ifrs-full_PropertyPlantAndEquipment,유형자산,583090590000,정확매핑,유형자산,583090590000.0,-
CFS,BS,ifrs-full_Equity,자본총계,3315389037000,정확매핑,자본총계,3315389037000.0,-
CFS,BS,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주지분,3320378412000,정확매핑,지배기업소유주지분,3320378412000.0,-
CFS,BS,dart_CapitalAdjustments,자본조정,-242640471000,정확매핑,자본조정(BS),-242640471000.0,-
CFS,BS,dart_CapitalSurplus,자본잉여금,902814776000,정확매핑,자본잉여금,902814776000.0,-
CFS,BS,ifrs-full_AccumulatedOtherComprehensiveIncome,기타포괄손익누적액,483939450000,정확매핑,기타포괄손익누계액(BS),483939450000.0,-
CFS,BS,ifrs-full_IssuedCapital,자본금,456730090000,정확매핑,자본금,456730090000.0,-
CFS,BS,ifrs-full_RetainedEarnings,이익잉여금,1719534567000,정확매핑,이익잉여금,1719534567000.0,-
CFS,BS,dart_RegulatoryReserveForCreditLoss,(대손준비금 적립액),8421848000,정확매핑,대손준비금 적립액,8421848000.0,-
CFS,BS,dart_RegulatoryReserveForCreditLossToBeAddedReversed,(대손준비금 적립 예정금액),19143178000,정확매핑,대손준비금 적립(환입)예정액,19143178000.0,-
CFS,BS,ifrs-full_NoncontrollingInterests,비지배지분,-4989375000,정확매핑,비지배지분,-4989375000.0,-
CFS,BS,ifrs-full_EquityAndLiabilities,부채및자본총계,26396108665000,정확매핑,자본과부채총계,26396108665000.0,-
CFS,BS,-표준계정코드 미사용-,종업원급여부채,7980315000,기타강등,기타 중요 계정,7980315000.0,-
CFS,BS,-표준계정코드 미사용-,기타부채,772224962000,정확매핑,기타부채,772224962000.0,-
CFS,BS,ifrs-full_BondsIssued,사채,3799445786000,정확매핑,사채,3799445786000.0,-
CFS,BS,ifrs-full_Borrowings,차입부채,11345179030000,정확매핑,차입부채,11345179030000.0,-
CFS,BS,ifrs-full_CurrentTaxLiabilities,당기법인세부채,59065060000,정확매핑,당기법인세부채,59065060000.0,-
CFS,BS,ifrs-full_DeferredTaxLiabilities,이연법인세부채,64568845000,정확매핑,이연법인세부채,64568845000.0,-
CFS,BS,ifrs-full_DepositsFromCustomers,예수부채,4154324332000,정확매핑,예수부채,4154324332000.0,-
CFS,BS,ifrs-full_FinancialLiabilitiesAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융부채,2844791224000,정확매핑,당기손익-공정가치측정금융부채,2844791224000.0,-
CFS,BS,-표준계정코드 미사용-,당기손익-공정가치측정금융부채,155862910000,기타강등,기타 중요 계정,155862910000.0,-
CFS,BS,-표준계정코드 미사용-,파생상품부채,557197409000,정확매핑,유동파생상품부채,557197409000.0,-
CFS,BS,ifrs-full_FinancialLiabilitiesAtFairValueThroughProfitOrLossDesignatedAsUponInitialRecognition,당기손익-공정가치측정지정금융부채,2131730905000,정확매핑,당기손익-공정가치측정지정금융부채,2131730905000.0,-
CFS,BS,ifrs-full_Liabilities,부채총계,23080719628000,정확매핑,부채총계,23080719628000.0,-
CFS,BS,ifrs-full_OtherNonfinancialLiabilities,매각예정비유동부채,15000000000,기타강등,기타 중요 계정,15000000000.0,-
CFS,BS,ifrs-full_Provisions,충당부채,18140074000,정확매핑,VIII. 충당부채,18140074000.0,-
CFS,CIS,dart_NonOperatingProfitLoss,영업외손익,104796452000,정확매핑,영업외손익,104796452000.0,-
CFS,CIS,dart_NonOperatingExpense,영업외손실,98539105000,정확매핑,영업외비용,98539105000.0,-
CFS,CIS,dart_NonOperatingIncome,영업외이익,203335557000,정확매핑,영업외수익,203335557000.0,-
CFS,CIS,-표준계정코드 미사용-,당기순손익의 귀속,144182139000,기타강등,기타 중요 계정,144182139000.0,-
CFS,CIS,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비재배지분순손익,-635461000,정확매핑,비지배지분순이익,-635461000.0,-
CFS,CIS,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업주주지분순손익,144817600000,정확매핑,지배기업귀속순이익,144817600000.0,-
CFS,CIS,-표준계정코드 미사용-,당기총포괄손익의 귀속,147189274000,기타강등,기타 중요 계정,147189274000.0,-
CFS,CIS,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분총포괄손익,-1331419000,정확매핑,비지배지분총포괄손익,-1331419000.0,-
CFS,CIS,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업주주지분총포괄손익,148520693000,정확매핑,지배기업귀속총포괄손익,148520693000.0,-
CFS,CIS,ifrs-full_ComprehensiveIncome,당기총포괄이익,147189274000,정확매핑,총포괄손익,147189274000.0,-
CFS,CIS,dart_BasicEarningsLossPerSharePreferredStock,우선주기본주당순이익,1988,정확매핑,우선주기본주당순이익(손실),1988.0,-
CFS,CIS,dart_DilutedEarningsLossPerSharePreferredStock,우선주희석주당순이익,1988,정확매핑,우선주희석주당순이익(손실),1988.0,-
CFS,CIS,-표준계정코드 미사용-,2우선주기본주당순이익,1938,기타강등,기타 중요 계정,1938.0,-
CFS,CIS,-표준계정코드 미사용-,2우선주희석주당순이익,1938,기타강등,기타 중요 계정,1938.0,-
CFS,CIS,ifrs-full_BasicEarningsLossPerShare,보통주기본주당순이익,1962,정확매핑,기본주당이익,1962.0,-
CFS,CIS,ifrs-full_DilutedEarningsLossPerShare,보통주희석주당순이익,1760,정확매핑,희석주당이익,1760.0,-
CFS,CIS,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,44207348000,정확매핑,법인세비용,44207348000.0,-
CFS,CIS,ifrs-full_OperatingExpense,영업비용,4010269713000,정확매핑,영업비용,4010269713000.0,-
CFS,CIS,dart_AdditionalImpairmentLossesOfFinancialAssets,신용손실충당금전입액,198732477000,정확매핑,신용손실충당금 전입액,198732477000.0,-
CFS,CIS,dart_CostOfSalesFromSaleOfGoodsRealEstate,분양비용,23126355000,정확매핑,분양매출원가,23126355000.0,-
CFS,CIS,dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품관련손실,1994685168000,정확매핑,당기손익-공정가치측정금융상품관련손실,1994685168000.0,-
CFS,CIS,dart_MiscellaneousExpenses,기타판매비와관리비,192413188000,정확매핑,기타판매비와관리비,192413188000.0,-
CFS,CIS,dart_OtherOperatingExpense,기타영업비용,37392173000,정확매핑,기타영업비용,37392173000.0,-
CFS,CIS,dart_PersonalExpense,인건비,284280085000,정확매핑,인건비,284280085000.0,-
