corp_code,currency,years,fs_divs,sj_divs,rows,max_abs_amt,corp_name
00956028,USD,"2020,2021,2022,2023,2024,2025","CFS,OFS","BS,CF,CIS,SCE",2499,800234602.0,엑세스바이오
00138516,USD,"2020,2021,2022,2023,2024,2025","CFS,OFS","BS,CF,CIS,SCE",1632,371831316.0,아남전자
01165739,USD,"2020,2021,2022,2023,2024,2025","CFS,OFS","BS,CF,CIS,SCE",1100,158405481.0,잉글우드랩
01032486,USD,"2023,2024,2025",CFS,"BS,CF,CIS,IS,SCE",561,8558454000.0,두산밥캣
