fs_div,sj_div,account_id,label,amount,verdict,canonical,norm_amount,detail
CFS,BS,ifrs-full_NoncurrentAssets,비유동자산,806359114065,정확매핑,비유동자산,806359114065.0,-
CFS,BS,ifrs-full_PropertyPlantAndEquipment,유형자산,376174963661,정확매핑,유형자산,376174963661.0,-
CFS,BS,ifrs-full_InvestmentProperty,투자부동산,27576107474,정확매핑,투자부동산,27576107474.0,-
CFS,BS,-표준계정코드 미사용-,무형자산,28876067914,정확매핑,무형자산,28876067914.0,-
CFS,BS,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,기타비유동채권,2569850688,정확매핑,비유동매출채권,2569850688.0,-
CFS,BS,ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업투자,338755460865,정확매핑,지분법적용투자,338755460865.0,-
CFS,BS,ifrs-full_DeferredTaxAssets,이연법인세자산,1289874471,정확매핑,이연법인세자산,1289874471.0,-
CFS,BS,ifrs-full_OtherNoncurrentFinancialAssets,비유동금융자산,31116788992,정확매핑,기타비유동금융자산,31116788992.0,-
CFS,BS,ifrs-full_CurrentAssets,유동자산,793899783677,정확매핑,유동자산,793899783677.0,-
CFS,BS,ifrs-full_Inventories,재고자산,142917886284,정확매핑,재고자산,142917886284.0,-
CFS,BS,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,253763879104,정확매핑,매출채권및기타유동채권,253763879104.0,-
CFS,BS,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융자산,199512775938,정확매핑,단기금융상품,199512775938.0,-
CFS,BS,dart_OtherCurrentAssets,기타유동자산,88806905813,정확매핑,기타유동자산,88806905813.0,-
CFS,BS,ifrs-full_CurrentTaxAssets,당기법인세자산,,정확매핑,당기법인세자산,,-
CFS,BS,ifrs-full_CashAndCashEquivalents,현금및현금성자산,108898336538,정확매핑,현금및현금성자산,108898336538.0,-
CFS,BS,ifrs-full_Assets,자산총계,1600258897742,정확매핑,자산총계,1600258897742.0,-
CFS,BS,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,1007923775967,정확매핑,지배기업소유주지분,1007923775967.0,-
CFS,BS,ifrs-full_IssuedCapital,자본금,16932545000,정확매핑,자본금,16932545000.0,-
CFS,BS,dart_CapitalSurplus,자본잉여금,143886416428,정확매핑,자본잉여금,143886416428.0,-
CFS,BS,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-18111703885,정확매핑,기타포괄손익누계액,-18111703885.0,-
CFS,BS,ifrs-full_RetainedEarnings,이익잉여금(결손금),865216518424,정확매핑,이익잉여금,865216518424.0,-
CFS,BS,ifrs-full_NoncontrollingInterests,비지배지분,15261351986,정확매핑,비지배지분,15261351986.0,-
CFS,BS,ifrs-full_Equity,자본총계,1023185127953,정확매핑,자본총계,1023185127953.0,-
CFS,BS,ifrs-full_NoncurrentLiabilities,비유동부채,146004839372,정확매핑,비유동부채,146004839372.0,-
CFS,BS,ifrs-full_NoncurrentProvisions,비유동충당부채,3928702953,정확매핑,장기충당부채,3928702953.0,-
CFS,BS,dart_OtherNonCurrentLiabilities,기타비유동부채,5056145817,정확매핑,기타비유동부채,5056145817.0,-
CFS,BS,ifrs-full_OtherNoncurrentFinancialLiabilities,장기금융부채,34001019942,정확매핑,기타비유동금융부채,34001019942.0,-
CFS,BS,dart_PostemploymentBenefitObligations,확정급여부채,18172208527,정확매핑,순확정급여부채,18172208527.0,-
CFS,BS,ifrs-full_DeferredTaxLiabilities,이연법인세부채,84846762133,정확매핑,이연법인세부채,84846762133.0,-
CFS,BS,ifrs-full_CurrentLiabilities,유동부채,431068930417,정확매핑,유동부채,431068930417.0,-
CFS,BS,ifrs-full_CurrentProvisions,충당부채,2720378960,정확매핑,충당부채,2720378960.0,-
CFS,BS,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,191126045214,정확매핑,매입채무및기타유동채무,191126045214.0,-
CFS,BS,ifrs-full_OtherCurrentFinancialLiabilities,단기금융부채,186223686579,정확매핑,기타유동금융부채,186223686579.0,-
CFS,BS,dart_OtherCurrentLiabilities,기타유동부채,45579808444,정확매핑,기타유동부채,45579808444.0,-
CFS,BS,ifrs-full_CurrentTaxLiabilities,당기법인세부채,5419011220,정확매핑,당기법인세부채,5419011220.0,-
CFS,BS,ifrs-full_Liabilities,부채총계,577073769789,정확매핑,부채총계,577073769789.0,-
