sj_div,account,normalized,amount_억,fate
CIS,당기손익으로 재분류되지 않는항목(세후기타포괄손익),미매핑,8.3,신호 전면제외(CIS)
BS,기타비유동부채,미매핑,7.0,floor미달
BS,파생상품부채,미매핑,5.3,floor미달
CF,파생상품의 처분,미매핑,4.0,신호스캔제외+미매핑
CF,임차보증금의 증가,미매핑,2.3,신호스캔제외+미매핑
BS,전환사채,미매핑,2.0,floor미달
CF,대여금의 증가,미매핑,1.5,신호스캔제외+미매핑
CF,임차보증금의 감소,미매핑,1.3,신호스캔제외+미매핑
BS,기타자본항목,미매핑,1.2,floor미달
CF,기타포괄손익금융자산의 취득,미매핑,0.9,신호스캔제외+미매핑
CIS,공정가치측정 금융자산 평가손익,미매핑,-0.8,신호 전면제외(CIS)
CF,현금및현금성자산의 환율변동효과,미매핑,0.1,신호스캔제외+미매핑
CF,유상증자,미매핑,0.1,신호스캔제외+미매핑
CF,단기금융상품의 취득,미매핑,0.0,신호스캔제외+미매핑
BS,장기금융상품,미매핑,0.0,floor미달
BS,매각예정비유동자산,미매핑,,소계제외/집계
BS,매출채권및기타수취채권,미매핑,,소계제외/집계
BS,파생상품자산,미매핑,,소계제외/집계
BS,금융보증부채,미매핑,,floor미달
CF,단기금융상품의 처분,미매핑,,신호스캔제외+미매핑
CF,장기금융상품의 처분,미매핑,,신호스캔제외+미매핑
CF,무형자산의 처분,미매핑,,신호스캔제외+미매핑
CF,장기금융상품의 증가,미매핑,,신호스캔제외+미매핑
CF,사업권의 양수,미매핑,,신호스캔제외+미매핑
CF,파생상품의 취득,미매핑,,신호스캔제외+미매핑
CF,장기미지급금의 증가,미매핑,,신호스캔제외+미매핑
CF,유동성장기차입금의 상환,미매핑,,신호스캔제외+미매핑
CF,장기미지급금의 상환,미매핑,,신호스캔제외+미매핑
CF,신종자본증권의 전환,미매핑,,신호스캔제외+미매핑
