fs_div,sj_div,account_id,label,amount,verdict,canonical,norm_amount,detail
CFS,BS,ifrs_CurrentAssets,유동자산,58432126727,정확매핑,유동자산,58432126727.0,-
CFS,BS,-표준계정코드 미사용-,당좌자산,30666623794,기타강등,기타 중요 계정,30666623794.0,-
CFS,BS,-표준계정코드 미사용-,현금및현금성자산,5309214021,정확매핑,현금및현금성자산,5309214021.0,-
CFS,BS,-표준계정코드 미사용-,단기금융상품,2193018082,정확매핑,단기금융상품,2193018082.0,-
CFS,BS,-표준계정코드 미사용-,단기매매증권,,기타강등,기타 중요 계정,,-
CFS,BS,-표준계정코드 미사용-,파생상품자산,356571300,정확매핑,유동파생상품자산,356571300.0,-
CFS,BS,-표준계정코드 미사용-,매출채권,20853047698,정확매핑,매출채권,20853047698.0,-
CFS,BS,-표준계정코드 미사용-,대손충당금,248134569,정확매핑,대손충당금,248134569.0,-
CFS,BS,-표준계정코드 미사용-,미수금,1337448621,정확매핑,미수금,1337448621.0,-
CFS,BS,-표준계정코드 미사용-,국고보조금,157663639,기타강등,기타 중요 계정,157663639.0,-
CFS,BS,-표준계정코드 미사용-,미수수익,18706102,정확매핑,미수수익,18706102.0,-
CFS,BS,-표준계정코드 미사용-,선급금,44288508,정확매핑,선급금,44288508.0,-
CFS,BS,-표준계정코드 미사용-,선급비용,271871171,정확매핑,선급비용,271871171.0,-
CFS,BS,-표준계정코드 미사용-,선급법인세,2935440,기타강등,기타 중요 계정,2935440.0,-
CFS,BS,-표준계정코드 미사용-,단기대여금,171036638,정확매핑,단기대여금,171036638.0,-
CFS,BS,-표준계정코드 미사용-,부가세대급금,514284421,기타강등,기타 중요 계정,514284421.0,-
CFS,BS,ifrs_Inventories,재고자산,27765502933,정확매핑,재고자산,27765502933.0,-
CFS,BS,dart_MerchandiseGross,상품,3802059608,정확매핑,상품,3802059608.0,-
CFS,BS,dart_AccumulatedImpairmentLossMerchandiseGross,평가충당금,147224981,정확매핑,평가충당금(BS2),147224981.0,-
CFS,BS,dart_FinishedGoodsGross,제품,2438812606,정확매핑,제품,2438812606.0,-
