fs_div,sj_div,account_id,label,amount,verdict,canonical,norm_amount,detail
OFS,CF,dart_DecreaseInGuaranteeDeposits,임차보증금의 감소,,정확매핑,임차보증금감소,,-
OFS,CF,dart_IncreaseInGuaranteeDeposits,임차보증금의 증가,10000000,정확매핑,임차보증금증가,10000000.0,-
OFS,CF,dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융예치금의 감소,50032726047,정확매핑,단기금융상품처분,50032726047.0,-
OFS,CF,dart_ProceedsFromSalesOfShortTermLoansAndReceivables,단기대여금의 회수,350000000,정확매핑,단기대여금감소,350000000.0,-
OFS,CF,dart_PurchaseOfInvestmentsInAssociates,관계기업투자의취득,,정확매핑,관계기업투자취득,,-
OFS,CF,dart_PurchaseOfShortTermFinancialInstruments,단기금융예치금의 증가,50032725985,정확매핑,단기금융상품취득,50032725985.0,-
OFS,CF,dart_PurchaseOfShortTermLoansAndReceivables,단기대여금의 증가,213000000,정확매핑,단기대여금증가,213000000.0,-
OFS,CF,-표준계정코드 미사용-,리스보증금의 감소,33840000,기타강등,기타 중요 계정,33840000.0,-
OFS,CF,-표준계정코드 미사용-,파생상품의 취득,119889500,기타강등,기타 중요 계정,119889500.0,-
OFS,CF,-표준계정코드 미사용-,파생상품의 결제,,기타강등,기타 중요 계정,,-
OFS,CF,-표준계정코드 미사용-,리스보증금의 증가,24735000,기타강등,기타 중요 계정,24735000.0,-
OFS,CF,ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,,정확매핑,무형자산처분,,-
OFS,CF,ifrs-full_ProceedsFromSalesOfInvestmentProperty,투자부동산의 처분,8397900,정확매핑,투자부동산의 처분,8397900.0,-
OFS,CF,ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,43413548,정확매핑,유형자산처분,43413548.0,-
OFS,CF,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,8075245,정확매핑,무형자산취득,8075245.0,-
OFS,CF,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,2791761648,정확매핑,유형자산취득,2791761648.0,-
OFS,CF,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,10792613092,정확매핑,영업활동현금흐름,10792613092.0,-
OFS,CF,dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,자산 및 부채의 증감,-3012909521,정확매핑,운전자본변동,-3012909521.0,-
OFS,CF,dart_AdjustmentsForDecreaseincreaseInFairValueOfPlanAssets,사외적립자산의 납입,-800000000,정확매핑,사외적립자산증감,-800000000.0,-
OFS,CF,dart_CashOutflowForSeverancePay,퇴직금의지급,365098160,정확매핑,퇴직금의지급,365098160.0,-
OFS,CF,ifrs-full_AdjustmentsForDecreaseIncreaseInInventories,재고자산의 감소(증가),416375173,정확매핑,재고자산증감,416375173.0,-
OFS,CF,ifrs-full_AdjustmentsForDecreaseIncreaseInOtherCurrentAssets,기타유동자산의 감소(증가),792609033,정확매핑,기타유동자산의 감소(증가),792609033.0,-
OFS,CF,ifrs-full_AdjustmentsForDecreaseIncreaseInOtherOperatingReceivables,기타채권의 감소(증가),-2335526,정확매핑,기타채권의 감소(증가),-2335526.0,-
OFS,CF,ifrs-full_AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,매출채권의 감소(증가),-794777091,정확매핑,매출채권증감,-794777091.0,-
OFS,CF,ifrs-full_AdjustmentsForIncreaseDecreaseInOtherCurrentLiabilities,기타유동부채의 증가(감소),80846957,정확매핑,기타유동부채의 증가(감소),80846957.0,-
OFS,CF,ifrs-full_AdjustmentsForIncreaseDecreaseInOtherOperatingPayables,기타채무의 증가(감소),57234541,정확매핑,기타채무의 증가(감소),57234541.0,-
OFS,CF,ifrs-full_AdjustmentsForIncreaseDecreaseInTradeAccountPayable,매입채무의 증가(감소),-2397764448,정확매핑,매입채무증감,-2397764448.0,-
OFS,CF,ifrs-full_AdjustmentsForReconcileProfitLoss,조정,5131709177,정확매핑,당기순이익조정가감,5131709177.0,-
OFS,CF,dart_AdjustmentsForBadDebtExpenses,대손상각비(환입),711398182,정확매핑,대손상각비,711398182.0,-
OFS,CF,dart_AdjustmentsForDepreciationInvestmentProperty,감가상각비(투자부동산),68405158,정확매핑,투자부동산감가상각비 조정,68405158.0,-
OFS,CF,dart_AdjustmentsForGainOnDispositionOfTangibleAssets,유형자산처분이익,,정확매핑,유형자산처분이익조정,,-
OFS,CF,dart_AdjustmentsForGainOnForeignExchangeTranslations,외화환산이익,2428760,정확매핑,외화환산이익조정,2428760.0,-
OFS,CF,dart_AdjustmentsForGainsOnDisposalsOfInvestments,투자자산처분이익,,정확매핑,투자자산처분이익,,-
OFS,CF,dart_AdjustmentsForGainsOnEvaluationOfFairValueFinancialAssets,당기손익-공정가치측정금융자산평가이익,208261360,정확매핑,FVPL금융자산평가이익조정,208261360.0,-
OFS,CF,dart_AdjustmentsForGainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,파생금융상품거래이익,153497703,정확매핑,파생상품거래이익,153497703.0,-
